time_s,U1_V,I1_A,U2_V,I2_A
2.68211523101e-10,7.13365393423e-08,0.03942494331,-0.0,2.689994855967767
2.69526285469e-10,7.12368075639e-08,0.03942494331,-0.0,2.6999948559677667
2.70841047837e-10,7.11776264595e-08,0.03942494331,-0.0,2.7199897119355336
2.72155810205e-10,7.11655010477e-08,0.03942494331,-0.0,2.73199382716132
2.73470572573e-10,7.11949885712e-08,0.03942494331,-0.0,2.7469922839459486
2.7610009731e-10,7.13142140896e-08,0.03942494331,-0.0,2.77099537037099
2.77414859678e-10,7.13683361298e-08,0.03942494331,-0.0,2.7799953703709903
2.78729622046e-10,7.14063359553e-08,0.03942494331,-0.0,2.7999897119355337
2.80044384414e-10,7.14312511363e-08,0.03942494331,-0.0,2.81199382716132
2.81359146782e-10,7.14543544333e-08,0.03942494331,-0.0,2.823594032920846
2.8267390915e-10,7.14836607685e-08,0.03942494331,-0.0,2.8351940329190812
2.86618196255e-10,7.16507484455e-08,0.03942494331,-0.0,2.86999403292261
2.87932958623e-10,7.17223427316e-08,0.03942494331,-0.0,2.8899897119355336
2.89247720991e-10,7.17824617524e-08,0.03942494331,-0.0,2.8999948559677664
2.90562483359e-10,7.18123400745e-08,0.03942494331,-0.0,2.9099948559677666
2.91877245727e-10,7.17979018461e-08,0.03942494331,-0.0,2.931988683129087
2.98451057568e-10,7.14668955126e-08,0.03942494331,-0.0,2.9899948559677667
2.99765819936e-10,7.14537149449e-08,0.003960746617126781,-0.0,3.0099897119355328
3.01080582304e-10,7.14535515201e-08,0.003942494331,-0.0,3.022993312758097
3.06339631777e-10,7.14498247234e-08,0.003942494331,-0.0,3.069994855967767
3.07654394145e-10,7.14360828269e-08,0.003942494331,-0.0,3.079994855967767
3.08969156513e-10,7.14131607182e-08,0.003942494331,-0.0,3.099989711935534
3.10283918881e-10,7.13830514698e-08,0.003942494331,-0.0,3.112993312758097
3.1159868125e-10,7.13539725083e-08,0.003942494331,-0.0,3.1253269890331676
3.15542968354e-10,7.13642718253e-08,0.003942494331,-0.0,3.1599948559677666
3.16857730722e-10,7.14073875585e-08,0.003942494331,-0.0,3.1799897119355336
3.1817249309e-10,7.14594596829e-08,0.003942494331,-0.0,3.1899948559677664
3.19487255458e-10,7.15094250481e-08,0.003942494331,-0.0,3.202993312758097
3.24746304931e-10,7.15899721726e-08,0.003942494331,-0.0,3.2599897119355328
3.26061067299e-10,7.15765251513e-08,0.003942494331,-0.0,3.2699948559677665
3.27375829667e-10,7.15525123596e-08,0.003942494331,-0.0,3.2799948559677663
3.28690592035e-10,7.15257533201e-08,0.003942494331,-0.0,3.302988168725863
3.3263487914e-10,7.14985111117e-08,0.003942494331,-0.0,3.329994855967767
3.33949641508e-10,7.15089205627e-08,0.003942494331,-0.0,3.349989711935534
3.35264403876e-10,7.15137558061e-08,0.003942494331,-0.0,3.359994855967767
3.36579166244e-10,7.15066326151e-08,0.003942494331,-0.0,3.369994855967767
3.37893928612e-10,7.14845631578e-08,0.003942494331,-0.0,3.392988168725864
3.3920869098e-10,7.14538321844e-08,0.003942494331,-0.0,3.404743955759893
3.43152978085e-10,7.13983956402e-08,0.003942494331,-0.0,3.4399939557621266
3.44467740453e-10,7.14128445267e-08,0.003942494331,-0.0,3.4499948559677667
3.45782502821e-10,7.14409251756e-08,0.003942494331,-0.0,3.4699897119355336
3.47097265189e-10,7.1475837693e-08,0.003942494331,-0.0,3.482993312758097
3.48412027557e-10,7.15081815983e-08,0.003942494331,-0.0,3.494743955759893
3.52356314662e-10,7.15495351855e-08,0.003942494331,-0.0,3.529993955762127
3.5367107703e-10,7.15455525935e-08,0.003942494331,-0.0,3.5399948559677665
3.54985839398e-10,7.15423800202e-08,0.003942494331,-0.0,3.5599897119355335
3.56300601766e-10,7.15454744338e-08,0.003942494331,-0.0,3.5729933127580966
3.57615364134e-10,7.15578947208e-08,0.003942494331,-0.0,3.5847439557598926
3.61559651239e-10,7.15910415394e-08,0.003942494331,-0.0,3.6199939557621277
3.62874413607e-10,7.15717112243e-08,0.003942494331,-0.0,3.639989711935534
3.64189175975e-10,7.15362515891e-08,0.003942494331,-0.0,3.649994855967767
3.65503938343e-10,7.14968519944e-08,0.003942494331,-0.0,3.659994855967767
3.66818700711e-10,7.14663519474e-08,0.003942494331,-0.0,3.682988168708379
3.6813346308e-10,7.14517538469e-08,0.003942494331,-0.0,3.695326989026912
3.72077750184e-10,7.14480163921e-08,0.003942494331,-0.0,3.7299948559677665
3.73392512552e-10,7.14345516073e-08,0.003942494331,-0.0,3.7399948559677667
3.7470727492e-10,7.14175376615e-08,0.003942494331,-0.0,3.762988168725864
3.76022037288e-10,7.14046377581e-08,0.003942494331,-0.0,3.774743955759893
3.81281086761e-10,7.14720043149e-08,0.003942494331,-0.0,3.8199948559677663
