frequency_Hz,frequency_GHz,S11_real,S11_imag,S11_dB,S21_real,S21_imag,S21_dB,S21_phase_deg,group_delay_ns
21062992000.0,21.062992,0.7130135666658278,0.7011501356642481,-6.123920981889475e-07,-0.0002632895797118918,0.0002677444284004506,-68.50754763548198,-585.4806434935218,0.006794409266429901
21069991000.0,21.069991,0.7132229459377021,0.7009371506083842,-6.092498176316585e-07,-0.0002625334477318848,0.0002671350474660897,-68.5298893451204,-585.4977558856572,0.006788798496311548
21076990000.0,21.07699,0.7134320888051383,0.7007242789412433,-6.061249248652692e-07,-0.00026177977898382223,0.0002665272206773868,-68.55222197890437,-585.5148541500083,0.006783195130267004
21083989000.0,21.083989,0.7136409956348615,0.7005115206043536,-6.030173215283523e-07,-0.00026102856447940366,0.00026592094371768473,-68.5745455448762,-585.5319383052132,0.006777599154571692
21090988000.0,21.090988,0.7138496667928671,0.7002988755391862,-5.999268986518777e-07,-0.0002602797952666903,0.0002653162122829163,-68.59686005106676,-585.5490083698759,0.006772010555553967
21097987000.0,21.097987,0.7140581026444193,0.7000863436871555,-5.968535617317293e-07,-0.00025953346242994335,0.0002647130220815675,-68.61916550549546,-585.5660643625656,0.006766429319528955
21104986000.0,21.104986,0.7142663035540557,0.6998739249896193,-5.937972056561876e-07,-0.00025878955708946277,0.00026411136883464174,-68.64146191617041,-585.5831063018172,0.00676085543291766
21111985000.0,21.111985,0.7144742698855887,0.6996616193878799,-5.907577282065165e-07,-0.00025804807040142686,0.0002635112482756233,-68.66374929108831,-585.6001342061315,0.006755288882048438
21118984000.0,21.118984,0.7146820020021039,0.6994494268231847,-5.877350329499449e-07,-0.00025730899355773455,0.0002629126561504424,-68.68602763823452,-585.6171480939748,0.006749729653368764
21125983000.0,21.125983,0.7148895002659664,0.6992373472367266,-5.847290147747546e-07,-0.00025657231778584494,0.0002623155882174385,-68.70829696558312,-585.6341479837793,0.0067441777333525806
21132982000.0,21.132982,0.71509676503882,0.6990253805696437,-5.8173957917683e-07,-0.0002558380343486203,0.0002617200402473249,-68.73055728109686,-585.6511338939429,0.006738633108513534
21139981000.0,21.139981,0.7153037966815903,0.6988135267630203,-5.787666258660909e-07,-0.00025510613454416905,0.00026112600802315336,-68.75280859272726,-585.6681058428303,0.006733095765365272
21146980000.0,21.14698,0.7155105955544838,0.6986017857578882,-5.758100613027497e-07,-0.00025437660970569013,0.0002605334873402784,-68.77505090841456,-585.6850638487714,0.006727565690434677
21153979000.0,21.153979,0.7157171620169938,0.6983901574952257,-5.728697851967269e-07,-0.0002536494512013154,0.0002599424740063211,-68.79728423608779,-585.7020079300628,0.006722042870380979
21160978000.0,21.160978,0.7159234964278988,0.6981786419159596,-5.699457011152527e-07,-0.0002529246504339574,0.0002593529638411351,-68.81950858366478,-585.7189381049673,0.0067165272917972365
21167977000.0,21.167977,0.7161295991452656,0.6979672389609639,-5.670377126255579e-07,-0.0002522021988411538,0.00025876495267677024,-68.84172395905217,-585.7358543917138,0.00671101894134268
21174976000.0,21.174976,0.7163354705264509,0.6977559485710623,-5.641457252235285e-07,-0.00025148208789491436,0.0002581784363574376,-68.86393037014545,-585.752756808498,0.006705517805703009
21181975000.0,21.181975,0.7165411109281022,0.6975447706870268,-5.612696482623607e-07,-0.00025076430910156867,0.0002575934107394744,-68.88612782482896,-585.7696453734817,0.006700023871616866
21188974000.0,21.188974,0.7167465207061617,0.69733370524958,-5.584093804876482e-07,-0.0002500488540016145,0.0002570098716913095,-68.90831633097595,-585.7865201047938,0.006694537125836124
21195973000.0,21.195973,0.7169517002158659,0.6971227521993933,-5.555648331812429e-07,-0.00024933571416956593,0.00025642781509342737,-68.93049589644856,-585.8033810205292,0.00668905755513913
21202972000.0,21.202972,0.7171566498117471,0.6969119114770898,-5.527359176249966e-07,-0.00024862488121380394,0.0002558472368383339,-68.95266652909784,-585.8202281387503,0.006683585146343932
21209971000.0,21.209971,0.7173613698476373,0.6967011830232432,-5.499225335288314e-07,-0.00024791634677642603,0.0002552681328305215,-68.97482823676386,-585.8370614774855,0.006678119886308287
21216970000.0,21.21697,0.7175658606766689,0.6964905667783781,-5.471245921745995e-07,-0.0002472101025330981,0.0002546904989864348,-68.99698102727555,-585.8538810547309,0.006672661761916417
21223969000.0,21.223969,0.7177701226512746,0.6962800626829722,-5.443420038798261e-07,-0.0002465061401929053,0.00025411433123443474,-69.01912490845096,-585.8706868884491,0.006667210760039312
21230968000.0,21.230968,0.7179741561231923,0.6960696706774544,-5.415746770333813e-07,-0.0002458044514982057,0.00025353962551476585,-69.04125988809707,-585.8874789965697,0.00666176686768031
21237967000.0,21.237967,0.7181779614434637,0.6958593907022077,-5.388225229171182e-07,-0.0002451050282244827,0.00025296637777952026,-69.06338597400993,-585.90425739699,0.0066563300718030455
21244966000.0,21.244966,0.7183815389624385,0.6956492226975671,-5.360854508842348e-07,-0.00024440786218019934,0.0002523945839926043,-69.08550317397464,-585.921022107574,0.0066509003593843855
21251965000.0,21.251965,0.7185848890297747,0.6954391666038221,-5.333633741452396e-07,-0.00024371294520665235,0.00025182424012970333,-69.10761149576538,-585.937773146153,0.006645477717454139
21258964000.0,21.258964,0.7187880119944405,0.6952292223612164,-5.306562010890036e-07,-0.00024302026917782872,0.0002512553421782486,-69.12971094714547,-585.954510530526,0.006640062133108288
21265963000.0,21.265963,0.7189909082047158,0.6950193899099483,-5.279638487833456e-07,-0.00024232982600026092,0.00025068788613738253,-69.15180153586728,-585.9712342784592,0.00663465359345605
21272962000.0,21.272962,0.7191935780081952,0.6948096691901708,-5.25286223688482e-07,-0.00024164160761288328,0.0002501218680179245,-69.17388326967239,-585.9879444076864,0.006629252085619877
21279961000.0,21.279961,0.7193960217517873,0.6946000601419928,-5.226232438365596e-07,-0.00024095560598689052,0.0002495572838423375,-69.19595615629149,-586.0046409359092,0.006623857596695752
21286960000.0,21.28696,0.719598239781718,0.6943905627054794,-5.199748243667428e-07,-0.00024027181312559514,0.0002489941296446938,-69.21802020344451,-586.0213238807963,0.006618470113978181
21293959000.0,21.293959,0.719800232443533,0.6941811768206506,-5.17340878489541e-07,-0.00023959022106428575,0.0002484324014706413,-69.24007541884056,-586.0379932599851,0.006613089624642554
21300958000.0,21.300958,0.7200020000820961,0.6939719024274864,-5.14721319415464e-07,-0.00023891082187008794,0.00024787209537736963,-69.262121810178,-586.0546490910799,0.006607716115903969
21307957000.0,21.307957,0.7202035430415956,0.6937627394659203,-5.121160632480042e-07,-0.00023823360764182295,0.00024731320743357735,-69.28415938514442,-586.0712913916536,0.006602349575109872
21314956000.0,21.314956,0.7204048616655407,0.6935536878758458,-5.095250289836368e-07,-0.00023755857050986972,0.0002467557337194375,-69.30618815141666,-586.0879201792469,0.006596989989528296
21321955000.0,21.321955,0.7206059562967679,0.6933447475971147,-5.069481298328721e-07,-0.00023688570263602542,0.0002461996703265645,-69.32820811666092,-586.1045354713681,0.0065916373464934555
21328954000.0,21.328954,0.7208068272774399,0.6931359185695357,-5.043852838278581e-07,-0.00023621499621336774,0.00024564501335798075,-69.35021928853263,-586.1211372854943,0.006586291633418968
21335953000.0,21.335953,0.7210074749490469,0.6929272007328783,-5.018364090007428e-07,-0.00023554644346611883,0.0002450917589280839,-69.37222167467664,-586.1377256390706,0.006580952837678748
21342952000.0,21.342952,0.7212078996524106,0.6927185940268691,-4.993014291696398e-07,-0.00023488003664950654,0.0002445399031626125,-69.39421528272707,-586.1543005495101,0.006575620946686417
21349951000.0,21.349951,0.7214081017276835,0.6925100983911977,-4.967802527234222e-07,-0.00023421576804963137,0.00024398944219861435,-69.41620012030751,-586.1708620341948,0.006570295947987942
21356950000.0,21.35695,0.7216080815143523,0.6923017137655105,-4.942728054088592e-07,-0.00023355362998332848,0.0002434403721844123,-69.43817619503083,-586.1874101104748,0.006564977828983709
21363949000.0,21.363949,0.7218078393512367,0.6920934400894179,-4.917790071867543e-07,-0.00023289361479803523,0.0002428926892795717,-69.46014351449944,-586.2039447956688,0.006559666577193218
21370948000.0,21.370948,0.7220073755764956,0.6918852773024883,-4.892987741606015e-07,-0.00023223571487165557,0.00024234638965486792,-69.48210208630508,-586.220466107064,0.006554362180241845
21377947000.0,21.377947,0.7222066905276237,0.6916772253442541,-4.868320291841876e-07,-0.00023157992261242842,0.00024180146949225314,-69.504051918029,-586.2369740619165,0.006549064625662324
21384946000.0,21.384946,0.7224057845414568,0.6914692841542075,-4.843786951112996e-07,-0.00023092623045879328,0.00024125792498482383,-69.52599301724194,-586.2534686774508,0.006543773901053564
21391945000.0,21.391945,0.7226046579541708,0.6912614536718048,-4.819386928670691e-07,-0.0002302746308792596,0.000240715752336788,-69.54792539150414,-586.2699499708606,0.006538489994080648
21398944000.0,21.398944,0.7228033111012865,0.6910537338364632,-4.795119453052837e-07,-0.00022962511637227392,0.0002401749477634327,-69.56984904836531,-586.2864179593082,0.006533212892382189
21405943000.0,21.405943,0.7230017443176667,0.6908461245875646,-4.770983743154031e-07,-0.00022897767946609165,0.00023963550749109267,-69.59176399536473,-586.3028726599249,0.0065279425837159125
21412942000.0,21.412942,0.7231999579375223,0.6906386258644537,-4.7469790178688714e-07,-0.00022833231271864342,0.00023909742775711572,-69.61367024003124,-586.3193140898114,0.0065226790557204335
21419941000.0,21.419941,0.7233979522944103,0.6904312376064394,-4.72310451537851e-07,-0.0002276890087174083,0.00023856070480983245,-69.63556778988328,-586.3357422660368,0.006517422296193181
21426940000.0,21.42694,0.7235957277212378,0.690223959752794,-4.6993595027939256e-07,-0.00022704776007928342,0.00023802533490852328,-69.65745665242886,-586.3521572056402,0.006512172292944824
21433939000.0,21.433939,0.7237932845502624,0.690016792242756,-4.6757431990097216e-07,-0.000226408559450457,0.0002374913143233868,-69.6793368351656,-586.3685589256293,0.006506929033746322
21440938000.0,21.440938,0.723990623113094,0.6898097350155274,-4.6522548711368795e-07,-0.00022577139950627885,0.0002369586393355069,-69.70120834558081,-586.3849474429813,0.006501692506461283
21447937000.0,21.447937,0.7241877437406962,0.689602788010277,-4.628893795929657e-07,-0.00022513627295113508,0.00023642730623682178,-69.7230711911514,-586.4013227746432,0.006496462698926843
21454936000.0,21.454936,0.7243846467633882,0.6893959511661388,-4.605659182639387e-07,-0.00022450317251832038,0.00023589731133009167,-69.74492537934402,-586.4176849375308,0.006491239599099252
21461935000.0,21.461935,0.7245813325108462,0.6891892244222131,-4.58255030802033e-07,-0.00022387209096991258,0.000235368650928867,-69.76677091761496,-586.4340339485301,0.00648602319485535
21468934000.0,21.468934,0.7247778013121043,0.6889826077175671,-4.5595664970431227e-07,-0.00022324302109664735,0.0002348413213574566,-69.78860781341028,-586.4503698244962,0.0064808134741646236
21475933000.0,21.475933,0.7249740534955578,0.6887761009912348,-4.536706949315828e-07,-0.00022261595571779352,0.0002343153189508967,-69.81043607416575,-586.4666925822542,0.006475610424996557
21482932000.0,21.482932,0.7251700893889628,0.6885697041822174,-4.5139709608792597e-07,-0.000221990887681029,0.00023379064005491892,-69.83225570730691,-586.4830022385987,0.0064704140353735754
21489931000.0,21.489931,0.7253659093194378,0.6883634172294847,-4.491357885633886e-07,-0.00022136780986231717,0.00023326728102591868,-69.85406672024908,-586.4992988102944,0.006465224293357808
21496930000.0,21.49693,0.7255615136134672,0.6881572400719734,-4.468866932831046e-07,-0.00022074671516578387,0.00023274523823092443,-69.87586912039738,-586.5155823140757,0.006460041186984915
21503929000.0,21.503929,0.7257569025969013,0.6879511726485907,-4.44649739851156e-07,-0.00022012759652359596,0.00023222450804756618,-69.89766291514673,-586.5318527666471,0.0064548647043567295
21510928000.0,21.510928,0.7259520765949572,0.6877452148982108,-4.424248588359521e-07,-0.00021951044689583774,0.00023170508686404365,-69.91944811188189,-586.5481101846831,0.006449694833601556
21517927000.0,21.517927,0.7261470359322214,0.6875393667596779,-4.402119846632127e-07,-0.00021889525927039133,0.00023118697107909605,-69.94122471797753,-586.5643545848282,0.006444531562860932
21524926000.0,21.524926,0.7263417809326522,0.6873336281718061,-4.380110411510549e-07,-0.00021828202666281606,0.00023067015710197112,-69.96299274079813,-586.5805859836971,0.006439374880302868
21531925000.0,21.531925,0.7265363119195785,0.6871279990733794,-4.3582196465385366e-07,-0.00021767074211622692,0.00023015464135239284,-69.98475218769809,-586.596804397875,0.006434224774174781
21538924000.0,21.538924,0.7267306292157034,0.6869224794031524,-4.3364468381136386e-07,-0.00021706139870117692,0.0002296404202605324,-70.00650306602174,-586.6130098439171,0.006429081232671149
21545923000.0,21.545923,0.7269247331431062,0.6867170690998496,-4.314791291919956e-07,-0.00021645398951553683,0.00022912749026697605,-70.02824538310333,-586.6292023383492,0.00642394424406586
21552922000.0,21.552922,0.7271186240232409,0.6865117681021676,-4.2932523811445176e-07,-0.00021584850768437776,0.00022861584782269513,-70.04997914626705,-586.6453818976673,0.006418813796632802
21559921000.0,21.559921,0.7273123021769413,0.6863065763487746,-4.271829372898326e-07,-0.00021524494635985294,0.0002281054893890151,-70.0717043628271,-586.6615485383383,0.0064136898787252716
21566920000.0,21.56692,0.7275057679244198,0.6861014937783096,-4.25052162108186e-07,-0.0002146432987210803,0.00022759641143758522,-70.09342104008765,-586.6777022767994,0.006408572478643625
21573919000.0,21.573919,0.7276990215852701,0.6858965203293854,-4.229328450665777e-07,-0.00021404355797402654,0.00022708861045034798,-70.11512918534288,-586.6938431294585,0.006403461584780865
21580918000.0,21.580918,0.7278920634784684,0.6856916559405857,-4.2082492444803824e-07,-0.00021344571735138984,0.00022658208291950863,-70.136828805877,-586.7099711126943,0.006398357185503524
21587917000.0,21.587917,0.7280848939223759,0.6854869005504678,-4.187283269636685e-07,-0.000212849770112485,0.00022607682534750502,-70.1585199089643,-586.7260862428564,0.006393259269270778
21594916000.0,21.594916,0.7282775132347382,0.6852822540975624,-4.16642991860827e-07,-0.0002122557095431287,0.00022557283424697746,-70.18020250186908,-586.7421885362647,0.006388167824528566
21601915000.0,21.601915,0.7284699217326877,0.685077716520374,-4.1456885452956215e-07,-0.00021166352895552487,0.0002250701061407387,-70.20187659184577,-586.758278009211,0.006383082839762537
21608914000.0,21.608914,0.7286621197327452,0.6848732877573812,-4.125058503599227e-07,-0.00021107322168814992,0.00022456863756174322,-70.22354218613893,-586.7743546779575,0.006378004303418631
21615913000.0,21.615913,0.728854107550822,0.6846689677470364,-4.104539157062849e-07,-0.00021048478110564052,0.0002240684250530583,-70.24519929198318,-586.7904185587372,0.006372932204061902
21622912000.0,21.622912,0.7290458855022212,0.6844647564277666,-4.084129840300426e-07,-0.00020989820059867965,0.0002235694651678333,-70.26684791660333,-586.8064696677548,0.006367866530297112
21629911000.0,21.629911,0.7292374539016366,0.6842606537379746,-4.063829936142272e-07,-0.00020931347358388509,0.00022307175446927005,-70.28848806721433,-586.8225080211861,0.0063628072706496085
21636910000.0,21.63691,0.7294288130631581,0.6840566596160382,-4.0436387984888784e-07,-0.000208730593503697,0.00022257528953059316,-70.31011975102135,-586.8385336351777,0.00635775441373739
21643909000.0,21.643909,0.7296199633002706,0.6838527740003099,-4.023555848743663e-07,-0.00020814955382626683,0.0002220800669350206,-70.3317429752197,-586.854546525848,0.006352707948191683
21650908000.0,21.650908,0.7298109049258555,0.6836489968291201,-4.003580421520567e-07,-0.00020757034804534723,0.0002215860832757341,-70.35335774699496,-586.8705467092868,0.006347667862723129
21657907000.0,21.657907,0.7300016382521933,0.6834453280407743,-3.983711899649911e-07,-0.00020699296968018047,0.00022109333515584904,-70.37496407352292,-586.8865342015554,0.006342634145949721
21664906000.0,21.664906,0.7301921635909641,0.6832417675735555,-3.9639496948918386e-07,-0.0002064174122753896,0.00022060181918838578,-70.39656196196965,-586.9025090186858,0.006337606786621803
21671905000.0,21.671905,0.7303824812532492,0.6830383153657228,-3.9442931804333964e-07,-0.00020584366940086952,0.00022011153199624038,-70.41815141949147,-586.918471176683,0.0063325857735294245
